City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
289,qaqortoq,60.7167,-46.0333,-1.01,64,7,3.67,GL,1682664154
290,jamestown,42.097,-79.2353,10.8,72,0,2.06,US,1682664122
291,port saint john's,-31.6229,29.5448,21.31,86,88,0.65,ZA,1682664155
292,ves'yegonsk,58.664,37.2604,12.27,76,92,4.25,RU,1682664155
293,lodja,-3.4833,23.4333,26.56,71,94,0.39,CD,1682664155
294,ballito,-29.539,31.2144,23.08,73,75,2.57,ZA,1682664156
295,touros,-5.1989,-35.4608,23.89,94,34,3.19,BR,1682664150
296,jiuquan,39.7432,98.5174,14.76,9,0,0.85,CN,1682664157
297,qaisumah,28.3112,46.1273,30.98,25,0,7.72,SA,1682664157
298,antipino,57.1068,65.7576,8.16,68,100,5.89,RU,1682664158
299,al burayqah,30.4062,19.5739,18.28,56,3,6.28,LY,1682664158
300,kayyerkan,69.3786,87.7439,-6.5,100,73,2.91,RU,1682664159
301,ostersund,63.1792,14.6357,1.45,100,75,6.69,SE,1682664159
302,bang saphan,11.2126,99.5117,33.13,54,83,4.61,TH,1682664160
303,ilomantsi,62.6716,30.9328,3.16,96,100,2.33,FI,1682664160
304,codrington,-38.2667,141.9667,13.13,61,97,5.45,AU,1682664160
305,qoryooley,1.7878,44.53,29.7,67,100,3.15,SO,1682664161
306,alakurtti,66.9672,30.3491,-1.5,93,100,6.41,RU,1682664161
307,port augusta,-32.5,137.7667,18.62,46,100,5.22,AU,1682664162
308,kaiapoi,-43.3783,172.6401,13.37,88,0,6.69,NZ,1682664162
309,souillac,-20.5167,57.5167,28.21,65,40,3.6,MU,1682664162
310,arno,60.1167,18.6333,2.1,87,83,3.61,SE,1682664163
311,bakal,54.9417,58.8083,16.36,46,18,4.56,RU,1682664163
312,lensk,60.7253,114.9278,6.85,64,84,3.1,RU,1682664163
313,nar'yan-mar,67.6713,53.087,-3.44,83,90,4.53,RU,1682664164
314,santa maria del oro,25.9333,-105.3667,15.43,27,0,2.38,MX,1682664164
315,chala,-7.5833,31.2667,18.25,72,24,2.65,TZ,1682664164
316,okha,53.5739,142.9478,1.08,88,100,4.57,RU,1682664165
317,mejit,10.2753,170.8646,27.53,80,30,8.34,MH,1682664165
318,sungailiat,-1.85,106.1333,30.53,62,99,4.08,ID,1682664166
319,ain sefra,32.75,-0.5833,24.95,15,6,1.48,DZ,1682664166
320,comodoro rivadavia,-45.8667,-67.5,12.92,47,0,2.57,AR,1682664166
321,muynoq,43.7683,59.0214,26.45,16,100,4.29,UZ,1682664167
322,koani,-6.1333,39.2833,26.79,78,75,10.29,TZ,1682664167
323,jieshi,22.8134,115.8257,23.94,80,21,4.61,CN,1682664167
324,natal,-5.795,-35.2094,24.36,94,75,2.06,BR,1682664168
325,quemado de guines,22.7853,-80.2536,23.12,80,100,0.88,CU,1682664168
326,conception bay south,47.4999,-52.9981,0.41,92,100,7.28,CA,1682664168
327,sanctuary point,-35.1114,150.629,24.43,68,95,4.86,AU,1682664168
328,maceio,-9.6658,-35.7353,24.69,94,20,1.03,BR,1682664168
329,marquette,46.5333,-87.6335,5.43,90,100,0.57,US,1682664169
330,kimberley,-28.7323,24.7623,15.83,59,0,0.0,ZA,1682664169
331,aldama,22.9167,-98.0667,22.11,85,99,2.36,MX,1682664169
332,yibin,28.7667,104.6238,17.07,75,100,5.58,CN,1682664170
333,gunjur,13.2019,-16.7339,21.04,78,0,3.09,GM,1682664170
334,havana,23.133,-82.383,22.24,88,40,0.51,CU,1682664171
335,kingscliff,-28.2667,153.5667,22.89,60,0,4.63,AU,1682664171
336,mayisad,19.1667,-72.1333,21.69,91,93,1.1,HT,1682664171
337,khovd,48.0056,91.6419,13.86,20,100,3.16,MN,1682664172
338,kataysk,56.289,62.5841,13.02,68,94,7.19,RU,1682664172
339,hami,42.8,93.45,19.22,9,7,1.42,CN,1682663951
340,ambon,-3.6954,128.1814,29.97,88,40,2.57,ID,1682664173
341,lake havasu city,34.4839,-114.3224,27.26,13,0,1.79,US,1682663931
342,batang,-6.4846,110.7083,29.99,69,91,2.51,ID,1682664173
343,san antonio de pale,-1.4014,5.6325,27.87,75,99,3.46,GQ,1682664173
344,komsomol'skiy,43.9783,46.6985,19.86,61,9,2.19,RU,1682664173
345,beau vallon,-20.4189,57.6953,29.56,65,40,3.6,MU,1682664174
346,merizo village,13.2658,144.6691,28.88,87,3,8.89,GU,1682664174
347,kruisfontein,-34.0033,24.7314,17.71,68,0,1.28,ZA,1682664174
348,akureyri,65.6835,-18.0878,-3.04,80,100,1.54,IS,1682664174
349,walvis bay,-22.9575,14.5053,14.49,93,75,0.0,NA,1682664175
350,salinopolis,-0.6136,-47.3561,24.09,90,100,1.26,BR,1682664175
351,crane,31.3974,-102.3501,18.96,29,0,7.37,US,1682664175
352,samtredia,42.1537,42.3352,18.15,68,0,7.2,GE,1682664175
353,cabo san lucas,22.8909,-109.9124,22.01,70,0,0.89,MX,1682664176
354,ixtapa,20.7,-105.2,23.57,83,0,0.0,MX,1682664176
355,aginskoye,51.1,114.53,9.55,21,100,4.59,RU,1682664176
356,garissa,-0.4536,39.6401,26.84,68,90,7.39,KE,1682664176
357,ebon,4.582,168.6964,28.38,78,100,6.67,MH,1682664177
358,eha amufu,6.6592,7.7596,25.46,72,100,0.37,NG,1682664177
359,eger,47.9026,20.3733,9.21,69,34,1.9,HU,1682664177
360,chippewa falls,44.9369,-91.3929,12.1,75,100,3.09,US,1682664177
361,milan,45.4643,9.1895,14.36,67,0,2.68,IT,1682663976
362,northam,51.0333,-4.2167,11.88,98,100,4.69,GB,1682664178
363,chonchi,-42.6128,-73.8092,12.84,95,100,4.66,CL,1682664178
364,ban karon,7.8477,98.2985,31.95,65,100,2.44,TH,1682664178
365,gizo,-8.103,156.8419,29.03,71,19,1.82,SB,1682664179
366,st anne,49.715,-2.2042,10.25,100,75,7.2,GG,1682664179
367,ailuk,10.2197,169.9797,27.48,81,92,8.2,MH,1682664180
368,waddan,29.1614,16.139,20.7,44,0,2.7,LY,1682664180
369,temirlanovka,42.5994,69.2633,27.77,23,5,2.61,KZ,1682664180
370,ta`u,-14.2336,-169.5144,27.96,78,50,6.37,AS,1682664180
371,brigantine,39.4101,-74.3646,12.23,85,0,3.6,US,1682664181
372,praia da vitoria,38.7333,-27.0667,16.53,88,40,8.53,PT,1682664181
373,st. john's,47.5649,-52.7093,0.54,93,100,6.17,CA,1682663972
374,tanabe,33.7333,135.3667,19.56,63,75,5.14,JP,1682664182
375,ringkobing,56.0901,8.244,6.12,68,95,3.83,DK,1682664182
376,degerfors,59.238,14.4308,4.38,53,0,2.88,SE,1682664183
377,safi,32.1667,-8.8333,19.36,61,7,2.87,MA,1682664183
378,kragero,58.8693,9.4149,6.36,51,51,2.31,NO,1682664184
379,zhanaozen,43.3,52.8,27.38,24,0,6.02,KZ,1682664184
380,andergrove,-21.0833,149.1833,23.86,76,80,6.02,AU,1682664185
381,den burg,53.0542,4.7972,8.33,83,100,4.12,NL,1682664185
382,beitbridge,-22.2167,30.0,25.71,48,0,0.8,ZW,1682664185
383,campbellton,48.0075,-66.6727,3.25,88,91,1.28,CA,1682664187
384,saint-philippe,-21.3585,55.7679,27.77,69,7,4.19,RE,1682664187
385,neya,58.2972,43.8681,10.59,75,100,2.36,RU,1682664188
386,bluefields,12.0137,-83.7635,24.61,82,90,2.66,NI,1682664188
387,calvinia,-31.4707,19.776,12.96,71,83,1.25,ZA,1682664188
388,el rosario,24.2556,-107.1828,18.29,66,0,1.17,MX,1682664189
389,abu dhabi,24.4667,54.3667,31.06,28,0,1.54,AE,1682664017
390,kabba,7.8287,6.0731,23.84,77,100,1.87,NG,1682664189
391,weno,7.4515,151.8468,24.97,100,100,2.06,FM,1682664190
392,homa bay,-0.5273,34.4571,20.68,84,100,0.73,KE,1682664190
393,aroma,15.8167,36.1333,33.17,33,88,4.44,SD,1682664191
394,mohr,54.3528,9.7167,6.75,81,20,4.63,DE,1682664191
395,navrongo,10.8956,-1.0921,27.21,65,80,2.6,GH,1682664191
396,kill devil hills,36.0307,-75.676,19.0,82,100,4.63,US,1682664192
397,bhisho,-32.8472,27.4422,14.35,64,0,3.12,ZA,1682664192
398,melchor de mencos,17.0686,-89.1522,26.0,94,0,3.09,GT,1682664192
399,perryville,37.7242,-89.8612,11.92,100,100,1.54,US,1682664192
400,yingkou,40.6648,122.2283,13.08,71,98,2.62,CN,1682664193
401,bardai,11.65,7.2333,26.16,53,100,5.2,NG,1682664193
402,mar del plata,-38.0023,-57.5575,14.49,95,0,2.57,AR,1682664115
403,smara,26.7384,-11.6719,21.45,48,0,1.69,EH,1682664194
404,emerald,-23.5333,148.1667,26.86,38,82,1.91,AU,1682664137
405,korla,41.7597,86.1469,20.78,14,7,4.46,CN,1682663952
406,island harbour,50.724,-1.2758,12.18,96,100,3.13,GB,1682664195
407,mukalla,14.5425,49.1242,31.06,67,5,3.96,YE,1682664195
408,tual,-5.6667,132.75,28.17,78,100,6.28,ID,1682664195
409,sidi khaled,34.387,4.9879,23.58,33,13,3.8,DZ,1682664196
410,chernyshevskiy,63.0128,112.4714,1.15,100,100,2.02,RU,1682664196
411,greymouth,-42.4667,171.2,11.0,83,0,1.39,NZ,1682664196
412,pacific grove,36.6177,-121.9166,12.79,100,100,1.54,US,1682663941
413,boa vista,2.8197,-60.6733,24.99,88,0,1.03,BR,1682664197
414,fort st. john,56.2499,-120.8529,8.94,43,40,10.29,CA,1682664198
415,zaragoza,41.6561,-0.8773,19.45,63,0,3.6,ES,1682664064
416,maxixe,-23.8597,35.3472,23.9,88,20,0.0,MZ,1682664198
417,don luan,11.5333,106.9167,36.28,38,99,2.84,VN,1682664199
418,smirnykh,49.75,142.8333,6.52,61,99,3.12,RU,1682664199
419,rongelap,11.1635,166.8941,27.03,83,67,9.31,MH,1682664199
420,quibala,-10.7337,14.98,17.72,69,96,1.81,AO,1682664199
421,alaior,39.9303,4.1404,17.86,94,0,3.09,ES,1682664200
422,saint-hubert,50.05,5.3833,11.42,99,100,4.16,BE,1682664200
423,yolombo,6.5984,-75.0114,16.33,99,100,1.36,CO,1682664200
424,cambria,35.5641,-121.0808,18.32,79,9,0.97,US,1682664201
425,trindade,-16.6494,-49.4889,20.86,90,43,0.38,BR,1682664201
426,al 'aziziyah,32.9058,45.0616,33.77,9,0,3.17,IQ,1682664202
427,grosse pointe farms,42.4092,-82.8919,8.49,76,0,4.63,US,1682664202
428,la passe,45.5549,-0.8967,15.13,86,97,1.83,FR,1682664203
429,lagunas,-5.2269,-75.6753,21.98,100,99,0.7,PE,1682664203
430,jam sahib,26.2958,68.6292,31.01,25,63,7.11,PK,1682664203
431,fort mcmurray,56.7268,-111.381,7.77,57,100,3.6,CA,1682664204
432,san patricio,28.017,-97.5169,21.92,91,0,3.13,US,1682664204
433,tynda,55.1667,124.7167,4.18,60,97,3.05,RU,1682664205
434,buta,2.7858,24.73,25.69,68,100,0.74,CD,1682664205
435,labasa,-16.4167,179.3833,25.94,87,6,0.3,FJ,1682664205
436,khandyga,62.6667,135.6,3.91,69,100,1.67,RU,1682664206
437,tougan,13.0667,-3.0667,26.67,55,1,3.3,BF,1682664206
438,suva,-18.1416,178.4415,26.71,83,20,1.03,FJ,1682664043
439,santa elena de uairen,4.6167,-61.1333,19.5,94,100,0.39,VE,1682664207
440,crown point,41.417,-87.3653,11.52,61,0,0.0,US,1682664208
441,mili,6.0815,171.735,27.68,81,100,7.28,MH,1682664208
442,tuapse,44.1125,39.0742,12.82,95,100,2.44,RU,1682663981
443,srandakan,-7.9386,110.2506,29.39,76,100,5.73,ID,1682664208
444,sterling,39.0062,-77.4286,14.6,85,100,3.6,US,1682664209
445,borzya,50.3833,116.5167,6.79,44,100,6.59,RU,1682664209
446,arraial do cabo,-22.9661,-42.0278,23.92,88,75,3.09,BR,1682664210
447,banda aceh,5.5577,95.3222,29.39,68,100,2.55,ID,1682664210
448,inhambane,-23.865,35.3833,23.99,88,20,0.0,MZ,1682664211
449,katsuren-haebaru,26.3369,127.8719,26.21,69,40,4.12,JP,1682664211
450,ciutadella,40.0011,3.8414,18.45,73,99,4.06,ES,1682664211
451,amasra,41.7463,32.3863,10.03,92,100,5.2,TR,1682664212
452,pamandzi,-12.7967,45.2794,26.88,89,75,4.12,YT,1682664212
453,spa,50.4837,5.8667,12.29,99,100,2.62,BE,1682664212
